Model,Accuracy,Precision,Recall,F1,ROC-AUC
XGBoost,0.8982744486038541,0.9377102550189907,0.8532804044713038,0.8935052580421677,0.9583180411585583
LightGBM,0.8976027972304258,0.9376562398104471,0.8518979341944148,0.8927222492420087,0.9579237460313075
Random Forest,0.8964076528747666,0.9456507259890768,0.8412134139116009,0.8903800326100589,0.9564347471090814
Gradient Boosting,0.8905998439398279,0.9408853818376354,0.8336295769640952,0.8840160844433275,0.9502390096274412
Decision Tree,0.8883280819414675,0.9264214772086568,0.8437216099853854,0.8831397031463183,0.947934214004788
Logistic Regression,0.8640399830111711,0.8904042864101315,0.8303511474503298,0.8593298110430952,0.9253338957636525
